How would you categorise yourself in college? (This in no way will determine your selection. It is just for us to get a better understanding of your academic performance if you think it is necessary for us to know),How much would you rate the look of the platform on a scale of 1-10 where 1 is the least rating while 10 is the highest ?,What do you think can be improved in the UI/UX part of the platform?,"Would you prefer Widhya's approach of ""Learning by Doing"" as compared to the conventional theoretical approach ? ",Why did you choose Yes/No in your previous question? Please explain.,"On a scale of 1-10, how effective was the ""Widhya way of learning"" for you?",Why did you think Widhya's way of learning was effective for you?,"Did the ""Learning by Doing"" methodology of Widhya interest you and keep you occupied?",Was the Widhya way of learning helpful for you to learn something new?,"How long did you take to complete the Mission in minutes? Example: if you took 1.5 hours, then please mention 90 in the answer section below.",Which Mission did you complete?,Was the Mission effective for you in terms of learning/solving?,Why was the above mentioned Mission effective/not effective for you?,How easy or tough were the Missions for you on a scale of 1-5 where 1 implies extremely easy and 5 implies extremely tough?,Can anything be improved in the Missions to make your experience in the future much better?,How much would you rate the Mission on a scale of 1 to 10 where 1 is the least and 10 is the highest?,Did the Microtasks facilitate a progressive learning curve for you?,What do you think can be improved in every Microtask?,"Overall, on a scale of 1-10, how much would you rate the effectiveness of each Microtask?",How satisfied are you with Widhya's platform?,How likely are you to recommend the platform to your friends/family to use and improve on their skills?,Did you learn something new from the Missions?,"If yes, then what did you learn out the Missions on the platform?",What new topics would you like Widhya to cover in the Missions format in the days to come?,What new skills did you learn after solving Missions on Widhya's platform?
Top 5% in class,9,The platform has to be made responsive firstly.Next the student dashboard can be made more interactive.The home page can be refined as well.,Yes,Practical exposure provides a mechanism to store concepts in mind for much longer and makes the process of learning more fun.Learning by doing helps to cover both the theoretical as well as the practical approach while covering a concept.,9,Widhya's way of learning was effective as it provided a platform to complete and observe the entire data science pipeline in just one mission! missions were intuitive and really helped me to revise and test myself as well as complete a task.,Yes,Yes,45,Data Science Mission,Yes,"The mission was effective as it showcased how the entire data science pipeline functions,how training and testing can be done, calculating mse etc. which helped me to effectively revise the aforementioned concepts.The prediction of prices of bitcoin was intresting as well.",2,Better UI/UX of platform and an embedded jupyter online notebook would be much great!,10,Yes,They were great!,10,10,10,Yes,data visualization using jointplot ,"CyberSecurity,BlockChain","Missions showcased the entire data science pipeline ,which made the mission very interesting.
The missions helped me to gain in-depth knowledge on data-visualization using seaborn and how predictions can be made more precise and accurate. The learning by doing approach really helped me to revise and explore the both the practical and theoretical concepts required for being a data science expert .   "
Top 2% in class,10,A scroll bar would make it easier to work with.,Yes,"I am a person who learns by doing, conventional method of learning does not help me in developing my skills. It is the difficulties faced while solving helps me in learning.",10,"I could learn at execute at the same time, rather than learning first and solving later. This increases the efficiency of learning.",Yes,Yes,60,Data Science Mission,Yes,"I could learn and solve at the same time, this helped in my problem solving skills as well as clearede my concepts.",2,"Yes, a built-in interface for live coding.",10,Yes,It was fine in the way it was.,10,10,10,Yes,,App development,Effective way of handling data
Top 10% in class,8,I think everything is good.,Yes,"Yes, because by until we implement concepts, we don't get to know insights of everything.",9,As I learnt here how to predict things like prices from real-world data. Step-by-step approach towards solution is nice thing.,Yes,Yes,80,Data Science Mission,Yes,"Yes, because by untill we implement concepts, we don't get to know insights of everything.",2,More realistic data can be used which is understood by everyone.,8,Yes,They were nice.,9,8,10,Yes,I have learnt regression model which are useful to predict future data. And hoe to get there step-by-step.,They are just fine.,"Data cleaning, data collection, machine learning, EDA(exploratory data analysis)"
Top 5% in class,9,"UI - It would be better if there is a footer section for the page rather than having a separate contact section.
Also in the dashboard there is lot of negative space in the bottom area.
When hovering on a particular link or a mission it would be much easier if the mouse looks like a pointer.",Yes,Students these days aren't getting the skills required for the 21st century. Rather we are still confined to traditional methods of learning.,8,Experiential learning ,Yes,Yes,120,Data Science Mission,Maybe,Hands on experience of the basic concepts and resources provided helped to learn more.,3,Maybe yeah ,8,Yes,Technological stack,8,8,8,No,,Ui UX designing ,Experienced another method of installing python libraries 
Top 2% in class,9,"It is an interactive platform with a captivating UI, but I think it would be better if you can also include scrollbar at the corner as it might sometimes be difficult (not much though) for the end user to scroll up and down without using it.",Yes,"Although, theoretical knowledge of a particular domain is important, but the real learning, comes with hand-on practice through some assignments, tasks or missions. Widhya is following the same model, where it is easy for students to learn and get hands on experience in any discipline.",9,"Basics are the building blocks for any subject and after completing the mission, I get to revise the basic and fundamental knowledge of data science and machine learning algorithms which seems to be far effective than going through the theory.",Yes,Yes,75,Data Science Mission,Yes,"Data Science Mission is effective for me as i get to write python code by following each micro task and finally completing the mission. Also, it helped me in spending some time to clean the code and optimize it as well.",2,"Besides finding MSE, other performance measures such as accuracy, precision, recall and F1 Score can also be asked in the questions.",8,Yes,"Some Micro task in the Data Science mission can be answered without hands on practice in python. I think, each micro task should be designed based on implementing something on python and not letting users to find answers in the task description.",8,8,9,Yes,Dividing the problem into several sub tasks helps us to solve the whole problem easily without much efforts.,"Statistics, Data Visualization (Power BI or Tableau or both), Advanced Excel, Same mission on R (for those who are comfortable in R), and SQL",Time Management and Division of problem into tasks
Top 5% in class,9,Yes,Yes,Practical knowledge is always better than theoretical knowledge because it helps us understand things and the reason behind the working of algorithms. ,10,"Because of the tasks provided by Widhya, I was able to test my skills.",Yes,Yes,45,Data Science Mission,Yes,I got to put my skills into practical situation. ,2,The questions need to be more clear if the expected answer has to be accurate. ,8,Yes,In micro-task 5 we are asked about the MSE of the model but as we know the MSE of the model may change as we change certain parameters. Please specify all teh parameters to get accurate results.,9,9,9,Yes,,Different algorithms to be applied on the datasets,"I have been working with data science and machine learning for a while now, so I implemented my knowledge to complete the tasks"
Top 5% in class,10,"The UI of the platform is really good but apparently it is facing a glitch as soon i completed the mission , the after symbol of "" Mission Completed ""  is being shown even after returning to the home page and few small errors in the writings. Leaving those rest of it is really great",Yes,"I have always believed in the quote ""Learning by doing"" either be math or programming unless we don't practically perform it we cannot understand the concept or the conflicts of problem we're trying to solve or learn.",8,"From my personal experience on completing missions on what i have learned is that even though any individual don't have good grip or is a beginner would be able to understand the task as the language is simple and all the steps of the missions are so well connected that we can literally view the link between microtask 1 and microtask 2, which if we try to implement to create something that would practically would be possible with all the details mentioned in the task.",Yes,Yes,30,Full Stack Development Mission,Yes,"The missions were clear and concise , easy to understand. generally people think web application development is difficult but full stack development mission explained it really well and in very few steps.",2,"Few pictorial representations would make the task more easier to understand as i microtask 3 , 4 ,5 go in somewhat in detail.",9,Yes,Microtask are good with few diagrams it will make it perfect.,9,9,10,Yes,Every mission was dedicated some sort of task like creating something. so in the process we learn the basic steps of building such applications,Big Data and clouding computing are my recommendations which i would like widhya to cover in missions,"Learned Few Flask tools , python modules and Integration of HTML in Flask"
Top 25% in class,7,No comments.,Yes,"I chose yes, because I too believes in ""Learning by Doing"". Everything I've learnt, I learnt while performing a task or doing some project.",7,I found Widhya's way of learning effective as it emphasizes on practical implementation rather than theoretical knowledge. ,Yes,Yes,45,Data Science Mission,Maybe,The Mission was so basic and not a real challenge.,2,The problem statement can be more kind of real life project with proper guidance on how to perform.,4,Yes,No comments.,5,5,5,No,,Interactive Data visualizations,Correlation jointplot
Top 2% in class,10,As FAQ are given at the bottom we can add a FAQ option after contact,Yes,Without learning we can't achieve the target. By learning we gain knowledge and a proper approach to solve the problem,10,As it was starting with the basic and checking if person has a good knowledge of the basic of the field,Yes,Yes,60,Data Science Mission,Yes,It helped me to go through my basics once again,2,No,10,Yes,It was all good,10,10,9,Yes,I just learned to remove the hour string as we require only numbers ,Unsupervised Learning,How to remove the string 'hour' from the data
Top 10% in class,9,The description part in each mission could be more clear and distinct. ,Yes,"Learning never stops. Widhya's learning by doing approach is structured in a way that aims to provide every student an independent and equal platform, a real-time industrial experience, even before they start doing a job or an internship. Widhya's approach is focused on understanding the basic theoretical foundations in the domain. I strongly believe that when you are learning a theoretical concept while doing practically, it makes us better understand. Widhya's way of learning is very much effective because first, it allows us to understand the concept in a comprehensive way. After learning it also allows us to test that knowledge in a step-wise manner. Like the dataset in each mission is very well described. Also, there are clear instructions for each task of the mission. Once, we have a thorough understanding of the problem it becomes very much easy to find a complete solution. The learning is completely aimed to give theoretical as well the practical knowledge about various concepts in Data Science and Machine Learning.",9,Widhya's way of learning was effective for me because it is purely based on performance. The learning approach believes in quality and efforts to get good results. Not just overall results but performance for each sub-task of the mission is also evaluated. Clearing these sub-tasks made me feel more confident about the concepts in the domain. In this even beginners stand a fair chance to compete with intermediate and advance coders for this internship as Widhya's way of learning believes in transparency.,Yes,Yes,140,Data Science Mission,Yes,"The Missions were the most effective way of learning. It helped me in brushing up the learned theoretical concepts and the coding skills. Thinking and selecting the right answer for each micro task made me feel more confident and determined to do the further questions. Also, the evaluation is strictly based on solving each micro task of the mission.",2,More micro-tasks could be added that focuses more on coding.,9,Yes,Few multiple choice questions could be added.,10,10,10,Yes,"Each mission is based on various concepts of the domain. Data Science is a vast domain and it requires immense practice to call out each concept while coding. The micro tasks of the missions helped me in recollecting various concepts which I have learned years ago. For example, the first time I learned Linear Regression was in the year 2017. But, with missions on Widhya's platform I feel more confident about my knowledge now. Also, I learned doing these micro tasks on both R-Studio and Python platform.","More concepts like Forecasting, Time Series, Market Basket Analysis and Recommendation System could be covered in the further missions.",To locate a specific value in a column of the data. To perform Linear Regression using sklearn.
Top 5% in class,9,I loved the UI/UX part of the platform and can't think of any improvement.,Yes,"The conventional theoretical approach is of no use without implementing it. I feel that the approach of ""Learning by Doing"" gives us the confidence and the ability to apply the theoretical knowledge in real-life scenarios.",10,"Widhya's way of learning was very effective for me because the task assigned was very basic yet could only be done if my basic concepts on the topic were clear.During this task 
I learnt how to covert raw data into csv type using excel which I didn't know earlier as I had mostly worked on kaggle datasets which are already in csv format.",Yes,Yes,120,Data Science Mission,Yes,The above mission on Machine Learning was effective for me as made my basics on the topic much clear.,2,The mission was designed really well .,10,Yes,The tasks were explained clearly but were quite easy. The difficulty level can be increased a little.,9,10,10,Yes,I learnt how to covert raw data into csv type using excel which I didn't know earlier as I had mostly worked on kaggle datasets which are already in csv format.,Neural Networks,I learnt how to remove string part in a column and make it numeric to continue further computations using the Linear Regression model in this missions case.
Top 25% in class,5,Can be more easy to use and engaging ,Yes,Because this would be the perfect opportunity for me to learn skills by myself . ,5,Because I applied knowledge rather than just mugging up things ,Yes,Yes,90,Data Science Mission,Yes,Because I learned many great things and also applied them on real time problems . ,3,More resources should be given . ,6,No,Proper resources should be given . ,7,6,5,Yes,I learnt about how to create a pipeline for data science ,Data science ,"Data cleaning , organising . "
Top 10% in class,9,"We are not shown the completion percentage on the dashboard, it is shown only when u enter that course, plz add that",Yes,its way better than those old fashioned resume selections and bad interviews,9,it allows me to learn new things,Yes,Yes,60,Data Science Mission,Yes,its a good practice,1,it can be for complex,7,Yes,they are perfect,9,9,9,No,,Cloud,grids in matplotlib
Top 25% in class,9,As of now nothing comes to mind about any imporvements. Will definitely reach out as and when they do :) .,Yes,"The factor that strikes the most about Widhya is that it prioritizes the learning of the individuals' first, which would definitely lay a strong foundation for the students in the future.",8,"Since I have completed an online training/internship for ML from Verzeo, and a Udemy course 'Python for Data Science and Machine Learning', this method adopted by Widhya was a necessity for me to ensure that I am comfortable with the absolute basics of Data Science, thus adding to the excitement of what's to come!",Yes,Yes,40,Data Science Mission,Yes,"It was not the typical method where we were asked absolute theory questions, instead a dataset was given and the operations specified clearly inculcated the basic foundation of learning Data Science. The cumulation of the basics I learnt before, I would say, were tested in an effective manner via this mission.",2,"For beginners in the field, it is perfect as it is.
In future, if seeking people of more experience, around 3 datasets can be included for testing, including a dataset where one could predict reviews based on review text data (which includes basics of NLP).",9,Yes,No improvements required.,9,10,9,No,,"As mentioned earlier, about 2 additional datasets could be added where data visualizations can be asked (keeping in mind the date-time data), and one which involves prediction of reviews on the basis of review text data (basics of NLP). ",It definitely served as a perfect revision for the basics I have learnt before!
Top 5% in class,7,The pointers do not change while hovering on different sections,Yes,"Beacuse it is a rapid and effective way of doing things.
Problem-->stuck somewhere-->explore,learn,hustle-->back to problem-->solved",9,The learning by doing methodolgy is the main reason.,Yes,Yes,50,Data Science Mission,No,It was too basic.,1,Sould be more challenging,2,No,Questions,1,5,5,No,,Deep Learning,Nothing
Top 10% in class,7,A lot of things. The text formatting and and spacing along with some examples can be included. One weird thing I noticed was that once we complete the task it shows Mission Complete and if we go ahead and choose another mission the mission completed symbol is there.,Yes,"I chose yes because learning by doing enforces us to implement what we have learnt right now. So its one of the best approach to learn. Though a lot of improvement is still needed.
",7,since I already know some basics of ML and data science it was relatively easier for me. But for a beginner it can be time consuming and confusing since very less information is given and I think we need to cover a lot of basics before directly diving into anything.,Yes,Yes,90,Data Science Mission,Yes,The mission is effective since it forces us to research a lot and then find the solution.,2,A lot more suggestions and beginner friendly tasks is needed for improvement.,7,Yes,Information and resources.,8,6,5,Yes,There is nothing new I learnt but it helped me revise some of the most basic things.,"Python Basics, C++ basics, C basics, Javascript basics",It helped me revise a lot of basic things.
Top 25% in class,7,NA,Yes,Because Practice makes Perfect.,7,Because it is suitable for anyone to fit. ,Yes,Yes,90,Data Science Mission,No,Nothing special.,3,There is nothing like submitting your code like that.,5,Yes,By providing online compiler.,6,7,6,No,,Artificial Intelligence,LinearRegression.
Top 2% in class,8,"1. Add a footer at the bottom
2. The login form on the home page could be made more brighter.
3. The font on the home page can be changed.",Yes,"Most of time, people loose jobs or internships because they can't communicate their skills well or because they wouldn't have done something that could be shown to others, but that does not mean that they don't have the skills. By this method, everybody is equally treated. The beginners can learn by doing the tasks, and those who have worked on it before, could refresh their skills. So this method is an effective way of selecting interns.",9,"It was effective, since I could refresh my skills on building a linear regression model. I have done models before, but it was the first time I am doing it as part of tasks. So it was a great experience for me. ",Yes,Yes,30,Data Science Mission,Yes,The task was to build a regression model which I had done months before. So this was like quick refresher guide for me. I was able to understand that I can do a regression model on my own.,1,Maybe more levels can be added so that some more topics could be covered.,9,Yes,"As such, all the microtasks were good.",9,10,10,Yes,"From the mission, I was able to do a linear regression model on my own. Before this, I have practiced building some models but this certainly was a good experience.","I would like to do more exercises on data science , maybe some more complex tasks.","After solving the missions, I am happy that I could do a linear regression model of my own. I have build regression models before. I had also done the full stack development mission, which was also easy for me since I have worked on Flask before."
Top 25% in class,9,UI,Yes,I like the practical way of learning as we have to live in the practical world after getting out of college and it gives a good experience of getting the knowledge on how it works too.,8,It's not like giving a PDF and do it and giving assignments its me who search for what i require to do the particular task and i like the way i am doing,Yes,Yes,30,Data Science Mission,Yes,Learning new things and doing them practically.,2,The process is good it will be good if i learn slow so that i don't require to get answers asking others and learn well the subject,9,Yes,It's good for me and i think go with the same plan,9,9,10,Yes,working on datasets,Data Structures,working on datasets and some python functions 
Top 25% in class,7,nothing,Yes,hands on is necessary,7,self learning ,Yes,Yes,90,Data Science Mission,Yes,learned linear regression,3,no,6,Yes,explain problems clearly,6,6,7,Yes,linear regression,data mining,learned linear regression
Top 25% in class,7,"Thers is an option to download the data set, I taught some excel sheet will get downloaded, it should have been made a bit clear, and in the last question the answer is range0:2000 they have asked for a number, I didn't quite understand the question.",Yes,"I have been in the theoretical approach all my life, I am thinking to give the other option a chance, and I never felt confident in the theoretical approach. ",6,"Linear regression was explained in adequate manner for a beginner, it gave us a broad idea of how it actually works. ",Maybe,Yes,20,Deep Learning Mission,Maybe,I DONT KNOW,4,"dataset mentioned, is confusion whetaer it is to be download or not",7,Yes,A bit more clear,7,7,7,No,,No idea,Linear Regression
Top 5% in class,10,The UI/UX of the platform was the most impressive one i have seen.,Yes,"Beacuse, that is the most effective techinque and it helps remember the mistakes we have done.",9,It was hands-on so it was very effective unlike other platforms.,Yes,Yes,120,Data Science Mission,Yes,Yes,3,More no.of missions would be better,8,Yes,Nothing,9,9,10,Yes,"I didnt know how to load the data from the url, as i was only aware of dealing with the datasets in excel.",Everything was covered,"Preprocessing,Functions in pandas"
Top 10% in class,9,"A Performance Analytics Dashboard cpuld be added which compares your performance with other people using the platform. Also, more information could be added on the website regarding what Widhya is all about.",Yes,Learning by doing gives a sense of achievement and the learning that comes with it is in-depth. I had learnt alot of these concepts but applying them from scratch gives you a sense of achievement and it's easier to remember concepts when working on a practical problem. Thus way of learning gives an edge in a practical environment. ,9,The microtasks helped me understand things in a step by step manner. ,Yes,Yes,40,Data Science Mission,Yes,It was effective because I could understand how to approach a new problem and there was proper guidance and hints available. The hints were very helpful but also left some things to me to figure out myself.,2,"The microtasks could have Beginner, Intermediate and Advanced levels to cater to a wider audience. ",9,Yes,Each microtasks could have a few nire questions and could be more subjective.,9,9,10,Yes,"I learnt Linear Regression, Data cleaning and preparation,  Exploratoru data Analysis using Python Pandas and Numpy.",Various Machine Learning Alogorithms could be taught as it gets very tough to learn from the online courses.,"I learnt Data Cleaning and Preparation, Exploratory Data Analysis, basics of Python pandas and Linear Regression."
Top 25% in class,7,The website is a bit slow .Also I faced some issues related to screen resolution. I had to zoom out in order to solve the missions.,Yes,I choose yes because practical application of the subject is necessary than just the theory part taught at college.,8,Widhya is a quite effective platform because of the practical applications taught in it.,Yes,Yes,60,Deep Learning Mission,Maybe,It helpedme to  understand the concepts better.,3,The technical terms could have been explained in a simple way. Many taks lacked a good introduction.,8,Yes,The tasks should be increased and technical terms can be explained in an easy way.,7,7,7,Yes,Practical Applications,Artificial Intelligence,Understood Deep learning and its applications
Top 2% in class,8,"There are some glitches in UI, like after completing a mission , it doesn't , in any way, clarify to the user on dashboard. In fact, the mission completed tick remains on every page of the site.",Yes,"I have always preferred to learn by doing projects even before Widhya. By reading theory , we tend to forget main concepts if not revised timely. Practical approach is better because we spend a lot of time in exploring things related to the project which clears every doubt.",8,"As all of the code was provided, it was quite easy to solve the questions. I would suggest giving code completion exercises to improvise.",Yes,Yes,10,Deep Learning Mission,Maybe,"As all of code was available, it was quite easy to solve the questions.",1,Partial code completion exercises can be given. ,6,Yes,"Instead of small answer questions, questions related to major concepts would have been useful.",7,5,5,Yes,"I learnt how to go through code, written by someone else :p","Cloud Computing, CyberSecurity","To be honest, just Dry running code."
Top 5% in class,9,"UI/UX looks good , just need to improve some part in the responsive mobile site.",Yes,Because it has steep learning curve rather than boring linear learning rate.,9,Because it has steep learning curve rather than boring linear learning rate where I can grasp more concepts from knowing why I need this code or why shouldn't I do this step which helps us dealing with real world problem more effectively.,Yes,Yes,2,Deep Learning Mission,Yes,It was unique and interesting,3,I think it was perfect keeping beginners in mind.,8,Yes,Integrating code bits and parts together,8,8,9,No,,Reinforcement learning ,None.
Top 10% in class,4,Th profile shown shown be improved in terms of UI. For example :-Information of the profile should be highlighted with big font and not necessarily picture.,Yes,"""Learning by doing"" creates an impact of the practical approach to real life situation for applications of those knowledge.Hence I think ""Learning by doing"" works appropriate for me.",10,This way of learning catches attention and focus through which I can learn better.,Yes,Yes,15,Deep Learning Mission,Yes,It was effective because now I think that I can remember all those things that I have learnt through this method.,1,"After a particular level, answers should not be directly given.The paragraph should make us to think in the researching way.",10,Yes,Microtask should be in levels from easy to difficult.,8,10,7,Yes,,Deep learning with the real world examples where it is used,I learnt the basics of Deep learning mission which can be helpful as a kickstart towards my journey.
Top 2% in class,8,"the transition from one page to another,
vertical scrollbar can be added for easier access
",Yes,"Only with handsOn experience, a person can learn and show interest on the topic",9,It helped me to search and find out the answer as well as the meaning of the keywords present in the code.,Yes,Yes,30,Deep Learning Mission,Yes,It helped me to get familiarize with the keywords used in creating a deep learning model,1,video related stuff regarding the topic can be added for better understanding,9,Yes,extra content can be added,8,8,8,Yes,The interaction was good with the system,much more details regarding the concepts can be added,It helped to refresh the topics that was familiarized before
